"No.","Radio ID","Name","Country","Remarks","Call Type","Call Alert"
"1","31099","APRS 31099 PC","","","Group Call","None"
"2","3102","Alaska","","","Group Call","None"
"3","3026","Alberta","","","Group Call","None"
"4","3104","Arizona","","","Group Call","None"
"5","9999","Audio Test","","","Group Call","None"
"6","3027","BC 1","","","Group Call","None"
"7","103027","BC 2","","","Group Call","None"
"8","3183","BC Local Net 1","","","Group Call","None"
"9","31075","BayNet","","","Group Call","None"
"10","3100","Bridge","","","Group Call","None"
"11","103100","Bridge 2 103100","","","Group Call","None"
"12","3106","California 1","","","Group Call","None"
"13","302","Canada","","","Group Call","None"
"14","3191","Cascades East","","","Group Call","None"
"15","31088","Colorado HD","","","Group Call","None"
"16","3777215","Comm 1","","","Group Call","None"
"17","377216","Comm 2","","","Group Call","None"
"18","3160","DCI 1","","","Group Call","None"
"19","3162","DCI 2","","","Group Call","None"
"20","8957","Em Comm 1","","","Group Call","None"
"21","8959","EmComm 2","","","Group Call","None"
"22","113","English PTT 113","","","Group Call","None"
"23","123","English PTT 123","","","Group Call","None"
"24","3182","Fusion","","","Group Call","None"
"25","3115","Hawaii","","","Group Call","None"
"26","31150","Hawaii 31150","","","Group Call","None"
"27","3168","I5","","","Group Call","None"
"28","3116","Idaho 1","","","Group Call","None"
"29","31160","Idaho ARES","","","Group Call","None"
"30","3181","Local 1","","","Group Call","None"
"31","3166","Local 2","","","Group Call","None"
"32","31301","MPRG","","","Group Call","None"
"33","3177","MTN 2","","","Group Call","None"
"34","3024","Manitoba","","","Group Call","None"
"35","3126","Michigan 1","","","Group Call","None"
"36","103126","Michigan 2","","","Group Call","None"
"37","3127","Minnesota","","","Group Call","None"
"38","3130","Montana 2","","","Group Call","None"
"39","31010","NXDN Alabama","","","Group Call","None"
"40","1200","NXDN Florida","","","Group Call","None"
"41","10200","NXDN N America","","","Group Call","None"
"42","28299","NXDN Ragchew","","","Group Call","None"
"43","65000","NXDN Worldwide","","","Group Call","None"
"44","31002","Net 2","","","Group Call","None"
"45","3029","New Brunswick","","","Group Call","None"
"46","31083","NoCO","","","Group Call","None"
"47","31068","NorCal","","","Group Call","None"
"48","3163","North America","","","Group Call","None"
"49","3023","Ontario","","","Group Call","None"
"50","3141","Oregon 1","","","Group Call","None"
"51","3187","PNW 1","","","Group Call","None"
"52","103187","PNW 2","","","Group Call","None"
"53","31771","PNW Regional","","","Group Call","None"
"54","9998","Parrot","","","Group Call","None"
"55","3190","Public Service 1","","","Group Call","None"
"56","103190","Public Service 2","","","Group Call","None"
"57","31328","SNARS 1","","","Group Call","None"
"58","99","Simplex 99","","","Group Call","None"
"59","31066","SoCal","","","Group Call","None"
"60","8951","TAC 1","","","Group Call","None"
"61","8952","TAC 2","","","Group Call","None"
"62","8953","TAC 3","","","Group Call","None"
"63","310","TAC 310","","","Group Call","None"
"64","311","TAC 311","","","Group Call","None"
"65","312","TAC 312","","","Group Call","None"
"66","313","TAC 313","","","Group Call","None"
"67","314","TAC 314","","","Group Call","None"
"68","315","TAC 315","","","Group Call","None"
"69","316","TAC 316","","","Group Call","None"
"70","317","TAC 317","","","Group Call","None"
"71","318","TAC 318","","","Group Call","None"
"72","319","TAC 319","","","Group Call","None"
"73","8958","TAC 8","","","Group Call","None"
"74","9","TG 9","","","Group Call","None"
"75","3148","Texas","","","Group Call","None"
"76","1776","USA","","","Group Call","None"
"77","3149","Utah","","","Group Call","None"
"78","3153","Wash 1","","","Group Call","None"
"79","103153","Wash 2","","","Group Call","None"
"80","3161","Worldwide","","","Group Call","None"
"81","13","Worldwide Englsh","","","Group Call","None"
